epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,49589.3975754,0.0,0.0,0.0,0.0,0.51,0.0,0.352,0.444,1000,model/nodp/20210512/112006/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-49589.3975754_acc-0.00000_epoch-0_ep-0.000_dl-0_ap-0.00
1,522.4587409,0.19732,0.0,0.0,0.0,0.572,0.0,0.356,0.54,1000,model/nodp/20210512/112006/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-522.4587409_acc-0.19732_epoch-1_ep-0.000_dl-0_ap-0.00
1,359.1100587,0.24344,0.0,0.0,0.0,0.602,0.0,0.354,0.598,1000,model/nodp/20210512/112006/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-359.1100587_acc-0.24344_epoch-1_ep-0.000_dl-0_ap-0.00
1,302.8415474,0.25487,0.0,0.0,0.0,0.592,0.0,0.354,0.578,1000,model/nodp/20210512/112006/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-302.8415474_acc-0.25487_epoch-1_ep-0.000_dl-0_ap-0.00
1,281.706921,0.25815,0.0,0.0,0.0,0.56,0.0,0.352,0.558,1000,model/nodp/20210512/112006/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-281.7069210_acc-0.25815_epoch-1_ep-0.000_dl-0_ap-0.00
1,245.6030469,0.25122,0.0,0.0,0.0,0.558,0.0,0.354,0.536,1000,model/nodp/20210512/112006/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-245.6030469_acc-0.25122_epoch-1_ep-0.000_dl-0_ap-0.00
1,245.6223404,0.24322,0.0,0.0,0.0,0.544,0.0,0.354,0.53,1000,model/nodp/20210512/112006/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-245.6223404_acc-0.24322_epoch-1_ep-0.000_dl-0_ap-0.00
1,230.8787121,0.23677,0.0,0.0,0.0,0.554,0.0,0.352,0.526,1000,model/nodp/20210512/112006/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-230.8787121_acc-0.23677_epoch-1_ep-0.000_dl-0_ap-0.00
1,213.6613099,0.27396,0.0,0.0,0.0,0.548,0.0,0.354,0.524,1000,model/nodp/20210512/112006/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-213.6613099_acc-0.27396_epoch-1_ep-0.000_dl-0_ap-0.00
1,219.6542553,0.26731,0.0,0.0,0.0,0.558,0.0,0.35,0.526,1000,model/nodp/20210512/112006/data-missing_digits_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-16_bptt-35_lr-20.0_dp-False_partial-False_0hidden-False.pt_ppl-219.6542553_acc-0.26731_epoch-1_ep-0.000_dl-0_ap-0.00
