epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
44,17.6765828,0.63865,2.196,8e-05,5.9,1.7336176204131348,300697,14644.931842044152,1000000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-17.6765828_acc-0.63865_epoch-44_ep-2.196_dl-8e-05_ap-5.90
45,17.4382229,0.64249,2.202,8e-05,5.9,1.9215978409001657,263962,13425.524831227647,1000000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-17.4382229_acc-0.64249_epoch-45_ep-2.202_dl-8e-05_ap-5.90
46,17.1278281,0.6462,2.208,8e-05,5.9,1.945343200637776,259653,13708.615785407945,1000000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-17.1278281_acc-0.64620_epoch-46_ep-2.208_dl-8e-05_ap-5.90
47,16.8812464,0.64966,2.214,8e-05,5.9,2.432010714469076,185307,10927.386097340945,1000000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-16.8812464_acc-0.64966_epoch-47_ep-2.214_dl-8e-05_ap-5.90
48,16.6194744,0.65089,2.22,8e-05,5.9,2.747768444088866,148881,9147.473376759877,1000000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-16.6194744_acc-0.65089_epoch-48_ep-2.220_dl-8e-05_ap-5.90
49,16.4630695,0.6541,2.226,8e-05,5.9,2.711681603467923,152652,9368.651194926117,1000000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-16.4630695_acc-0.65410_epoch-49_ep-2.226_dl-8e-05_ap-5.90
50,16.2468777,0.65423,2.232,8e-05,5.9,2.356162276839985,195310,9492.015629751771,1000000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-16.2468777_acc-0.65423_epoch-50_ep-2.232_dl-8e-05_ap-5.90
51,16.1024705,0.65576,2.239,8e-05,5.9,2.076462856155441,237095,8980.968031906827,1000000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-16.1024705_acc-0.65576_epoch-51_ep-2.239_dl-8e-05_ap-5.90
52,15.9093143,0.65648,2.245,8e-05,5.9,1.9689775245581842,255434,8754.156533761494,1000000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-15.9093143_acc-0.65648_epoch-52_ep-2.245_dl-8e-05_ap-5.90
53,15.636648,0.65919,2.251,8e-05,5.9,2.628795791235593,161679,7833.71089528382,1000000,model/dp/20210512/232905/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-1_bptt-35_lr-0.1_dp-True_partial-False_0hidden-False_sigma-0.6_norm-0.01_dl-8e-05.pt_ppl-15.6366480_acc-0.65919_epoch-53_ep-2.251_dl-8e-05_ap-5.90
