epoch,model_ppl,model_acc,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path_x,epsilon,delta,alpha,model_path_y
17,861.6548403,0.12,0.296,0.502,0.55,0.294,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-861.6548403_acc-0.12000_epoch-17,3.51,8e-05,4.0,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-861.6548403_acc-0.12000_epoch-17
18,829.7319385,0.14286,0.3,0.498,0.55,0.294,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-829.7319385_acc-0.14286_epoch-18,3.54,8e-05,4.0,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-829.7319385_acc-0.14286_epoch-18
19,803.4151705,0.16,0.294,0.504,0.55,0.296,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-803.4151705_acc-0.16000_epoch-19,3.56,8e-05,4.0,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-803.4151705_acc-0.16000_epoch-19
20,774.5410424,0.14286,0.294,0.498,0.55,0.29,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-774.5410424_acc-0.14286_epoch-20,3.58,8e-05,4.0,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-774.5410424_acc-0.14286_epoch-20
21,748.7359903,0.14286,0.292,0.498,0.55,0.288,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-748.7359903_acc-0.14286_epoch-21,3.60,8e-05,4.0,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-748.7359903_acc-0.14286_epoch-21
22,724.6825708,0.14286,0.288,0.498,0.55,0.29,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-724.6825708_acc-0.14286_epoch-22,3.62,8e-05,4.0,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-724.6825708_acc-0.14286_epoch-22
23,703.6489267,0.16,0.292,0.5,0.55,0.292,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-703.6489267_acc-0.16000_epoch-23,3.64,8e-05,4.0,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-703.6489267_acc-0.16000_epoch-23
24,685.3083485,0.18286,0.296,0.5,0.55,0.292,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-685.3083485_acc-0.18286_epoch-24,3.67,8e-05,4.0,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-685.3083485_acc-0.18286_epoch-24
25,670.3153932,0.19429,0.298,0.502,0.55,0.29,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-670.3153932_acc-0.19429_epoch-25,3.69,8e-05,4.0,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-670.3153932_acc-0.19429_epoch-25
26,656.6118582,0.18857,0.302,0.5,0.55,0.292,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-656.6118582_acc-0.18857_epoch-26,3.71,8e-05,4.0,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-656.6118582_acc-0.18857_epoch-26
