epoch,model_ppl,model_acc,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path_x,epsilon,delta,alpha,model_path_y
37,536.0311235,0.20571,0.31,0.496,0.55,0.3,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-536.0311235_acc-0.20571_epoch-37,3.92,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-536.0311235_acc-0.20571_epoch-37
38,529.5967421,0.21714,0.31,0.498,0.55,0.298,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-529.5967421_acc-0.21714_epoch-38,3.94,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-529.5967421_acc-0.21714_epoch-38
39,522.7771854,0.22286,0.31,0.5,0.55,0.3,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-522.7771854_acc-0.22286_epoch-39,3.96,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-522.7771854_acc-0.22286_epoch-39
40,516.7896967,0.22286,0.306,0.5,0.55,0.3,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-516.7896967_acc-0.22286_epoch-40,3.97,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-516.7896967_acc-0.22286_epoch-40
41,510.8955689,0.22286,0.312,0.5,0.55,0.308,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-510.8955689_acc-0.22286_epoch-41,3.99,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-510.8955689_acc-0.22286_epoch-41
42,505.6659187,0.23429,0.312,0.5,0.55,0.308,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-505.6659187_acc-0.23429_epoch-42,4.01,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-505.6659187_acc-0.23429_epoch-42
43,499.5119834,0.23429,0.314,0.502,0.55,0.308,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-499.5119834_acc-0.23429_epoch-43,4.03,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-499.5119834_acc-0.23429_epoch-43
44,494.5247931,0.22857,0.316,0.504,0.55,0.306,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-494.5247931_acc-0.22857_epoch-44,4.05,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-494.5247931_acc-0.22857_epoch-44
45,490.1613011,0.22286,0.314,0.504,0.55,0.304,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-490.1613011_acc-0.22286_epoch-45,4.06,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-490.1613011_acc-0.22286_epoch-45
46,485.2118012,0.22857,0.316,0.508,0.55,0.306,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-485.2118012_acc-0.22857_epoch-46,4.08,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-485.2118012_acc-0.22857_epoch-46
47,479.0836757,0.24,0.316,0.504,0.552,0.302,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-479.0836757_acc-0.24000_epoch-47,4.10,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-479.0836757_acc-0.24000_epoch-47
48,474.9780379,0.23429,0.316,0.508,0.552,0.302,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-474.9780379_acc-0.23429_epoch-48,4.12,8e-05,3.8,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-474.9780379_acc-0.23429_epoch-48
49,470.7444072,0.24,0.316,0.506,0.552,0.302,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-470.7444072_acc-0.24000_epoch-49,4.13,8e-05,3.8,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-470.7444072_acc-0.24000_epoch-49
50,467.8875089,0.24,0.316,0.502,0.552,0.304,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-467.8875089_acc-0.24000_epoch-50,4.15,8e-05,3.8,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-467.8875089_acc-0.24000_epoch-50
