epoch,model_ppl,model_acc,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path_x,epsilon,delta,alpha,model_path_y
39,79.6918497,0.34186,0.49,0.62,0.566,0.486,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-79.6918497_acc-0.34186_epoch-39,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-79.6918497_acc-0.34186_epoch-39
40,79.4828394,0.34011,0.494,0.618,0.566,0.492,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-79.4828394_acc-0.34011_epoch-40,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-79.4828394_acc-0.34011_epoch-40
41,79.0328978,0.34375,0.492,0.62,0.566,0.496,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-79.0328978_acc-0.34375_epoch-41,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-79.0328978_acc-0.34375_epoch-41
42,78.9865234,0.34092,0.496,0.624,0.566,0.494,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-78.9865234_acc-0.34092_epoch-42,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-78.9865234_acc-0.34092_epoch-42
43,78.4613184,0.34294,0.494,0.62,0.568,0.496,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-78.4613184_acc-0.34294_epoch-43,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-78.4613184_acc-0.34294_epoch-43
44,78.117016,0.34321,0.5,0.63,0.566,0.5,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-78.1170160_acc-0.34321_epoch-44,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-78.1170160_acc-0.34321_epoch-44
46,77.5840325,0.34375,0.504,0.626,0.568,0.5,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-77.5840325_acc-0.34375_epoch-46,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-77.5840325_acc-0.34375_epoch-46
47,77.5482594,0.34321,0.504,0.624,0.568,0.498,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-77.5482594_acc-0.34321_epoch-47,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-77.5482594_acc-0.34321_epoch-47
48,77.4637252,0.34348,0.508,0.624,0.568,0.5,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-77.4637252_acc-0.34348_epoch-48,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-77.4637252_acc-0.34348_epoch-48
49,77.3819821,0.34429,0.506,0.622,0.568,0.498,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-77.3819821_acc-0.34429_epoch-49,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-77.3819821_acc-0.34429_epoch-49
50,77.3702264,0.34388,0.508,0.624,0.568,0.5,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-77.3702264_acc-0.34388_epoch-50,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-77.3702264_acc-0.34388_epoch-50
