epoch,model_ppl,model_acc,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path_x,epsilon,delta,alpha,model_path_y
10,107.3536715,0.31008,0.412,0.59,0.562,0.404,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-107.3536715_acc-0.31008_epoch-10,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-107.3536715_acc-0.31008_epoch-10
11,102.2298124,0.31937,0.422,0.592,0.564,0.42,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-102.2298124_acc-0.31937_epoch-11,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-102.2298124_acc-0.31937_epoch-11
13,92.5736496,0.33338,0.436,0.596,0.564,0.438,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-92.5736496_acc-0.33338_epoch-13,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-92.5736496_acc-0.33338_epoch-13
14,91.6282058,0.33149,0.436,0.598,0.564,0.442,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-91.6282058_acc-0.33149_epoch-14,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-91.6282058_acc-0.33149_epoch-14
15,90.8778121,0.33405,0.442,0.596,0.564,0.442,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-90.8778121_acc-0.33405_epoch-15,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-90.8778121_acc-0.33405_epoch-15
16,90.1945959,0.33567,0.444,0.6,0.564,0.448,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-90.1945959_acc-0.33567_epoch-16,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-90.1945959_acc-0.33567_epoch-16
17,89.6651039,0.33365,0.45,0.6,0.564,0.45,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-89.6651039_acc-0.33365_epoch-17,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-89.6651039_acc-0.33365_epoch-17
18,89.0074908,0.33486,0.45,0.598,0.564,0.45,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-89.0074908_acc-0.33486_epoch-18,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-89.0074908_acc-0.33486_epoch-18
19,88.5150561,0.33378,0.454,0.606,0.564,0.454,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-88.5150561_acc-0.33378_epoch-19,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-88.5150561_acc-0.33378_epoch-19
20,87.6159834,0.33675,0.452,0.6,0.564,0.456,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-87.6159834_acc-0.33675_epoch-20,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-87.6159834_acc-0.33675_epoch-20
21,87.2523729,0.33607,0.456,0.604,0.566,0.456,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-87.2523729_acc-0.33607_epoch-21,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-87.2523729_acc-0.33607_epoch-21
22,86.5388096,0.33809,0.456,0.604,0.566,0.454,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-86.5388096_acc-0.33809_epoch-22,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-86.5388096_acc-0.33809_epoch-22
23,86.093848,0.33648,0.458,0.602,0.566,0.462,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-86.0938480_acc-0.33648_epoch-23,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-86.0938480_acc-0.33648_epoch-23
24,85.6777917,0.33688,0.464,0.608,0.566,0.464,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-85.6777917_acc-0.33688_epoch-24,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-85.6777917_acc-0.33688_epoch-24
25,84.9397497,0.33513,0.462,0.606,0.566,0.464,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-84.9397497_acc-0.33513_epoch-25,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-84.9397497_acc-0.33513_epoch-25
26,84.7780835,0.33742,0.466,0.606,0.566,0.472,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-84.7780835_acc-0.33742_epoch-26,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-84.7780835_acc-0.33742_epoch-26
27,84.1101766,0.3393,0.466,0.606,0.566,0.47,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-84.1101766_acc-0.33930_epoch-27,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-84.1101766_acc-0.33930_epoch-27
28,83.9690188,0.33607,0.47,0.606,0.566,0.47,1000,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-83.9690188_acc-0.33607_epoch-28,0,0,0,model/nodp/20210409/185850/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-256__bptt-35__lr-20.0__dp-False_partial-False.pt_ppl-83.9690188_acc-0.33607_epoch-28
