epoch,model_ppl,model_acc,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,epsilon,delta,alpha,model_path
15,304.7297236,0.26286,0.326,0.52,0.548,0.32,1000,4.00,8e-05,3.9,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-304.7297236_acc-0.26286_epoch-15
16,303.5616051,0.25714,0.328,0.532,0.548,0.316,1000,4.05,8e-05,3.9,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-303.5616051_acc-0.25714_epoch-16
17,303.2884338,0.25143,0.324,0.526,0.548,0.318,1000,4.09,8e-05,3.9,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-303.2884338_acc-0.25143_epoch-17
18,301.7376577,0.25714,0.322,0.53,0.548,0.314,1000,4.14,8e-05,3.8,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-301.7376577_acc-0.25714_epoch-18
19,300.3410332,0.26286,0.332,0.528,0.548,0.316,1000,4.18,8e-05,3.8,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-300.3410332_acc-0.26286_epoch-19
20,299.279138,0.27429,0.324,0.526,0.55,0.32,1000,4.23,8e-05,3.8,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-299.2791380_acc-0.27429_epoch-20
21,298.0447863,0.29143,0.33,0.532,0.55,0.32,1000,4.27,8e-05,3.8,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-298.0447863_acc-0.29143_epoch-21
22,298.7351126,0.27429,0.326,0.536,0.548,0.318,1000,4.31,8e-05,3.8,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-298.7351126_acc-0.27429_epoch-22
23,294.5912485,0.26857,0.324,0.53,0.548,0.316,1000,4.35,8e-05,3.8,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-294.5912485_acc-0.26857_epoch-23
24,291.6535182,0.27429,0.326,0.536,0.55,0.318,1000,4.40,8e-05,3.8,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-291.6535182_acc-0.27429_epoch-24
