epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
43,397.5463817,0.26286,4.028,8e-05,3.9,0.53,0.0,0.346,0.524,1000,model/dp/20210425/151417/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-397.5463817_acc-0.26286_epoch-43_ep-4.028_dl-8e-05_ap-3.90
44,395.8804934,0.25143,4.046,8e-05,3.9,0.524,0.0,0.342,0.518,1000,model/dp/20210425/151417/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-395.8804934_acc-0.25143_epoch-44_ep-4.046_dl-8e-05_ap-3.90
45,393.9276566,0.25143,4.064,8e-05,3.9,0.532,0.0,0.338,0.526,1000,model/dp/20210425/151417/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-393.9276566_acc-0.25143_epoch-45_ep-4.064_dl-8e-05_ap-3.90
46,393.1220131,0.24571,4.082,8e-05,3.9,0.524,0.0,0.34,0.52,1000,model/dp/20210425/151417/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-393.1220131_acc-0.24571_epoch-46_ep-4.082_dl-8e-05_ap-3.90
47,392.2100078,0.25143,4.1,8e-05,3.9,0.528,0.0,0.348,0.522,1000,model/dp/20210425/151417/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-392.2100078_acc-0.25143_epoch-47_ep-4.100_dl-8e-05_ap-3.90
48,390.4560739,0.25143,4.118,8e-05,3.8,0.524,0.0,0.35,0.522,1000,model/dp/20210425/151417/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-390.4560739_acc-0.25143_epoch-48_ep-4.118_dl-8e-05_ap-3.80
49,389.4561263,0.25714,4.133,8e-05,3.8,0.532,0.0,0.358,0.532,1000,model/dp/20210425/151417/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-389.4561263_acc-0.25714_epoch-49_ep-4.133_dl-8e-05_ap-3.80
50,388.0133191,0.26286,4.149,8e-05,3.8,0.546,0.0,0.35,0.542,1000,model/dp/20210425/151417/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-388.0133191_acc-0.26286_epoch-50_ep-4.149_dl-8e-05_ap-3.80
51,387.6231464,0.25714,4.165,8e-05,3.8,0.536,0.0,0.35,0.532,1000,model/dp/20210425/151417/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-387.6231464_acc-0.25714_epoch-51_ep-4.165_dl-8e-05_ap-3.80
52,385.0901025,0.26857,4.18,8e-05,3.8,0.542,0.0,0.354,0.542,1000,model/dp/20210425/151417/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.05_dp-True_partial-False_0hidden-False_sigma-0.5_norm-0.1_dl-8e-05.pt_ppl-385.0901025_acc-0.26857_epoch-52_ep-4.180_dl-8e-05_ap-3.80
