epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES
0,50434.7282047,0.0,1.9027775698212892,267428,50541.71333605561,1000000
1,447.1284457,0.23429,0.16621609561844508,891177,27318.67924437908,1000000
1,436.4652551,0.24,0.23634197732505058,848895,24690.265914652024,1000000
1,556.1912669,0.21714,0.12147710117727684,919246,25648.600697131005,1000000
1,484.6360769,0.22286,0.04091834889612045,972036,29337.82183886053,1000000
1,1103.5171972,0.10286,0.056992388363173774,961266,22167.157272708348,1000000
1,459.3955054,0.25143,0.11910920157631111,920756,26422.88905670175,1000000
1,740.1058616,0.15429,0.19028922659018122,876430,24514.14380298227,1000000
1,1607.670384,0.05714,0.05433686723288389,963037,19549.789497257516,1000000
1,3126.0932961,0.06286,0.5139364665386879,700309,38231.79063600053,1000000
1,616.6489446,0.20571,0.20992863158270225,864580,21416.555782188174,1000000
1,514.842598,0.23429,0.09404842349210796,936890,26447.280176231427,1000000
