epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,epsilon,delta,alpha,model_path
0,50434.7282047,0.0,1.9027775698212888,267428,50541.71333605561,1000000,0.15,8e-05,63.0,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0
1,2932.9806687,0.06286,0.3203402011471858,800881,39427.45821029202,1000000,2.85,8e-05,4.5,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-2932.9806687_acc-0.06286_epoch-1
2,2197.6120489,0.06286,0.3716892610860043,772877,24491.674000635307,1000000,2.95,8e-05,4.4,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-2197.6120489_acc-0.06286_epoch-2
3,1938.2091335,0.06286,0.2677655384948778,830605,20629.850496733943,1000000,3.03,8e-05,4.3,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1938.2091335_acc-0.06286_epoch-3
4,1773.0092673,0.06286,0.1215492969033356,919200,20812.012051597365,1000000,3.08,8e-05,4.3,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1773.0092673_acc-0.06286_epoch-4
5,1652.7388874,0.06286,0.1340637703041167,911261,20423.3580164672,1000000,3.14,8e-05,4.2,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1652.7388874_acc-0.06286_epoch-5
6,1565.450168,0.06286,0.1456803315717394,903953,20565.98465369979,1000000,3.18,8e-05,4.2,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1565.4501680_acc-0.06286_epoch-6
7,1496.457639,0.06286,0.0638765765653808,956690,21886.946065808068,1000000,3.21,8e-05,4.2,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1496.4576390_acc-0.06286_epoch-7
8,1431.4772181,0.06286,0.104833898204923,929912,20567.53415892624,1000000,3.25,8e-05,4.2,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1431.4772181_acc-0.06286_epoch-8
9,1364.8181882,0.06286,0.077824991283748,947485,20898.405817130224,1000000,3.29,8e-05,4.2,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1364.8181882_acc-0.06286_epoch-9
10,1300.0256431,0.06286,0.057630381359786,960841,21303.354598307847,1000000,3.32,8e-05,4.1,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1300.0256431_acc-0.06286_epoch-10
11,1232.8652809,0.08571,0.0426677958205772,970858,21842.32782016549,1000000,3.35,8e-05,4.1,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1232.8652809_acc-0.08571_epoch-11
12,1159.690349,0.10857,0.0485718503874679,966893,21905.53839912683,1000000,3.38,8e-05,4.1,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1159.6903490_acc-0.10857_epoch-12
13,1079.2782039,0.11429,0.0649370950527306,955987,20958.580633941587,1000000,3.40,8e-05,4.1,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1079.2782039_acc-0.11429_epoch-13
14,1005.603185,0.11429,0.0707437694642614,952147,20733.919999278663,1000000,3.43,8e-05,4.1,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1005.6031850_acc-0.11429_epoch-14
15,946.276826,0.12,0.0400859533331647,972597,21518.12286468803,1000000,3.46,8e-05,4.1,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-946.2768260_acc-0.12000_epoch-15
16,899.3514718,0.12,0.0483062821369699,967071,20724.24599887584,1000000,3.49,8e-05,4.1,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-899.3514718_acc-0.12000_epoch-16
17,861.6548403,0.12,0.0404865115694157,972327,21048.18070104785,1000000,3.51,8e-05,4.0,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-861.6548403_acc-0.12000_epoch-17
