epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,epsilon,delta,alpha,model_path
0,50434.7282047,0.0,1.9027775698212888,267428,50541.71333605561,1000000,0.15,8e-05,63.0,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0
1,436.4652551,0.24,0.2363419773250505,848895,24690.265914652024,1000000,3.01,8e-05,4.3,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-436.4652551_acc-0.24000_epoch-1
2,372.7183752,0.24571,0.1257711763957338,916514,31026.44239601747,1000000,3.16,8e-05,4.2,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-372.7183752_acc-0.24571_epoch-2
3,346.3304258,0.26286,0.7181866355887827,607861,25345.202889658845,1000000,3.26,8e-05,4.2,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-346.3304258_acc-0.26286_epoch-3
4,333.5465224,0.27429,0.8702896788507957,547037,28155.64710930477,1000000,3.35,8e-05,4.1,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-333.5465224_acc-0.27429_epoch-4
5,326.4046872,0.26286,0.1901871717439611,876492,34521.978113836885,1000000,3.42,8e-05,4.1,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-326.4046872_acc-0.26286_epoch-5
6,320.2805262,0.25143,0.6508498970524634,636905,19467.15140922774,1000000,3.50,8e-05,4.1,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-320.2805262_acc-0.25143_epoch-6
7,316.7738167,0.26857,0.289153680982416,818382,25638.0551866616,1000000,3.56,8e-05,4.0,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-316.7738167_acc-0.26857_epoch-7
8,314.4578681,0.27429,0.1876447163736223,878038,39046.22935808687,1000000,3.62,8e-05,4.0,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-314.4578681_acc-0.27429_epoch-8
9,311.4959879,0.26286,0.1581910799776729,896148,40181.37904771505,1000000,3.68,8e-05,4.0,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-311.4959879_acc-0.26286_epoch-9
