epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,50434.7282047,0.0,1.9027775698212892,267428,50541.71333605561,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0
1,1665.5333404,0.06286,0.07162437052627268,951566,22395.73946807413,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-1665.5333404_acc-0.06286_epoch-1
2,1319.4292943,0.06286,0.22644076801398327,854741,20080.438778019245,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-1319.4292943_acc-0.06286_epoch-2
3,914.8674566,0.11429,0.2096383129537216,864754,19917.835680878587,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-914.8674566_acc-0.11429_epoch-3
4,743.5296279,0.14857,0.09628605879886365,935438,20994.93684730947,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-743.5296279_acc-0.14857_epoch-4
5,640.4526528,0.2,0.18388366191123495,880330,18823.270698603654,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-640.4526528_acc-0.20000_epoch-5
6,577.1607918,0.21714,0.19287757667652627,874859,18303.914467341496,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-577.1607918_acc-0.21714_epoch-6
7,536.8084206,0.22857,0.0640243688031461,956592,20939.000451313666,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-536.8084206_acc-0.22857_epoch-7
8,503.7442943,0.23429,0.10557722549477333,929433,18586.393741988948,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-503.7442943_acc-0.23429_epoch-8
9,478.0812758,0.25714,0.09122243968248966,938727,17749.05926186779,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-478.0812758_acc-0.25714_epoch-9
10,460.7412867,0.25143,0.06075987943536276,958759,19387.427196376135,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-460.7412867_acc-0.25143_epoch-10
11,446.2946674,0.24571,0.054822322974967364,962713,18882.46428621979,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-446.2946674_acc-0.24571_epoch-11
12,434.5185764,0.25143,0.059406237390660976,959659,19610.915092911164,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-434.5185764_acc-0.25143_epoch-12
13,423.5144578,0.25143,0.13368385585361864,911501,17146.09887280469,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-423.5144578_acc-0.25143_epoch-13
14,414.9349588,0.25143,0.22165683442431927,857580,15679.341581067307,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-414.9349588_acc-0.25143_epoch-14
15,405.7283532,0.25714,0.12050594906733636,919865,17019.168362198798,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-405.7283532_acc-0.25714_epoch-15
16,398.119458,0.27429,0.179589816357403,882954,15842.801470001037,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-398.1194580_acc-0.27429_epoch-16
17,391.657143,0.27429,0.14921817570150964,901739,15714.541911647659,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-391.6571430_acc-0.27429_epoch-17
18,386.5419229,0.25714,0.15028730703694748,901071,15051.154387844523,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-386.5419229_acc-0.25714_epoch-18
