epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES
0,50435.2133319,0.0,1.9027775698212892,267428,50541.71333605561,1000000
1,432.0968589,0.224,0.3633303738728486,777368,16642.44849475138,1000000
2,238.0294657,0.26872,4.526992432083825,43375,8002.575603339052,1000000
3,180.3299263,0.29176,7.42898535577082,5803,8233.581382028342,1000000
4,158.9184791,0.29836,9.785636423503657,1133,2915.8136455481063,1000000
5,143.9474273,0.30563,13.609640474436812,80,1224.482935279211,1000000
6,134.0641283,0.29943,14.57401656470609,41,927.545459628694,1000000
7,129.3553134,0.30132,16.346606068603016,12,591.7348121259868,1000000
8,116.3437421,0.30873,17.346606068603016,6,359.9867788259915,1000000
9,115.1057335,0.30226,17.346606068603016,6,295.14447627279645,1000000
10,107.3536715,0.31008,17.346606068603016,6,216.20028857790922,1000000
11,102.2298124,0.31937,18.346606068603016,3,166.23145315202186,1000000
13,92.5736496,0.33338,18.931568569324174,2,144.50708772264377,1000000
14,91.6282058,0.33149,18.931568569324174,2,118.61729233666038,1000000
15,90.8778121,0.33405,19.931568569324174,1,105.54187253484608,1000000
16,90.1945959,0.33567,19.931568569324174,1,97.4776449433281,1000000
17,89.6651039,0.33365,19.931568569324174,1,98.95740167076512,1000000
18,89.0074908,0.33486,19.931568569324174,1,91.14008934253921,1000000
19,88.5150561,0.33378,19.931568569324174,1,88.32583398971596,1000000
20,87.6159834,0.33675,19.931568569324174,1,80.99121929576572,1000000
21,87.2523729,0.33607,19.931568569324174,1,82.99768727527483,1000000
22,86.5388096,0.33809,19.931568569324174,1,72.50812023335112,1000000
23,86.093848,0.33648,19.931568569324174,1,71.79591119232781,1000000
24,85.6777917,0.33688,19.931568569324174,1,68.3491647261397,1000000
25,84.9397497,0.33513,19.931568569324174,1,63.97816694933791,1000000
26,84.7780835,0.33742,19.931568569324174,1,60.51340665693075,1000000
27,84.1101766,0.3393,19.931568569324174,1,55.591414294794504,1000000
28,83.9690188,0.33607,19.931568569324174,1,49.41452653358558,1000000
29,83.1283207,0.3389,19.931568569324174,1,49.657501371111536,1000000
30,82.7512036,0.34011,19.931568569324174,1,49.49687975534094,1000000
31,82.4131824,0.34065,19.931568569324174,1,39.98991470204025,1000000
32,82.0603266,0.33796,19.931568569324174,1,40.433524101197364,1000000
33,81.5910004,0.33944,19.931568569324174,1,40.767733871415835,1000000
34,81.1821681,0.34173,19.931568569324174,1,34.93973839113038,1000000
35,81.0146858,0.34038,19.931568569324174,1,33.89154621692102,1000000
36,80.7581264,0.34011,19.931568569324174,1,31.190262574421705,1000000
37,80.12002,0.34025,19.931568569324174,1,28.67139165867925,1000000
38,80.0807744,0.33984,19.931568569324174,1,28.76106142675054,1000000
39,79.6918497,0.34186,19.931568569324174,1,26.023442767263152,1000000
40,79.4828394,0.34011,19.931568569324174,1,25.380025842557128,1000000
41,79.0328978,0.34375,19.931568569324174,1,24.04679262790041,1000000
42,78.9865234,0.34092,19.931568569324174,1,24.370573609810712,1000000
43,78.4613184,0.34294,19.931568569324174,1,20.837661247052402,1000000
44,78.117016,0.34321,19.931568569324174,1,19.596899418300747,1000000
46,77.5840325,0.34375,19.931568569324174,1,17.982626737506813,1000000
47,77.5482594,0.34321,19.931568569324174,1,18.022447657149147,1000000
48,77.4637252,0.34348,19.931568569324174,1,17.243212158246315,1000000
49,77.3819821,0.34429,19.931568569324174,1,17.37871286218192,1000000
50,77.3702264,0.34388,19.931568569324174,1,16.847391332600264,1000000
