epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES
0,50434.8894056,0.0,1.9027775698212892,267428,50541.71333605561,1000000
1,226.753309,0.28613,8.464472535418427,2831,7496.996074393344,1000000
1,145.294991,0.3125,8.779283727017592,2276,1900.0779531008839,1000000
1,147.8919691,0.29395,9.424765131528527,1455,2353.2329307314003,1000000
1,157.9325733,0.30469,12.369326145103102,189,2220.086310933934,1000000
1,179.671284,0.28125,7.467533417134261,5650,3477.960616794149,1000000
1,188.492661,0.28223,6.891792720090493,8421,5661.90641073578,1000000
1,207.0990506,0.28906,7.391682776572695,5955,7766.44990383323,1000000
1,170.5104461,0.30469,7.0318340269666635,7642,5401.029639806677,1000000
1,305.2125035,0.25684,0.9073162534331942,533176,14284.973624404392,1000000
1,417.8786269,0.23145,0.27473174984633175,826604,16168.79240891877,1000000
1,149.7739624,0.32227,11.021675485554132,481,2071.28812258512,1000000
