epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,epsilon,delta,alpha,model_path
15,517.9535435,0.23429,0.065738658150785,955456,19435.422636398864,1000000,3.46,8e-05,4.1,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-517.9535435_acc-0.23429_epoch-15
16,505.8960238,0.25714,0.1164292292883573,922468,17539.79945445293,1000000,3.49,8e-05,4.1,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-505.8960238_acc-0.25714_epoch-16
17,497.0278839,0.25714,0.0560036815013411,961925,18556.30146522557,1000000,3.51,8e-05,4.0,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-497.0278839_acc-0.25714_epoch-17
18,489.4443183,0.24571,0.0571109586567466,961187,17171.316682050157,1000000,3.54,8e-05,4.0,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-489.4443183_acc-0.24571_epoch-18
19,482.6726228,0.25143,0.1137136392909994,924206,16773.893200915103,1000000,3.56,8e-05,4.0,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-482.6726228_acc-0.25143_epoch-19
20,474.7684468,0.26857,0.1429569619895403,905661,18398.5276406954,1000000,3.58,8e-05,4.0,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-474.7684468_acc-0.26857_epoch-20
21,469.3619152,0.26286,0.1931381516977666,874701,18475.604930485497,1000000,3.60,8e-05,4.0,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-469.3619152_acc-0.26286_epoch-21
22,461.9831974,0.25714,0.3067463458488788,808463,17331.808414570674,1000000,3.62,8e-05,4.0,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-461.9831974_acc-0.25714_epoch-22
23,456.4591915,0.26857,0.4362385537774464,739059,15390.259970248757,1000000,3.64,8e-05,4.0,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-456.4591915_acc-0.26857_epoch-23
24,450.6984705,0.26286,0.6029549943000063,658404,13816.99010723305,1000000,3.67,8e-05,4.0,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-450.6984705_acc-0.26286_epoch-24
