epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
16,869.3898014,0.11429,0.05028579174817693,965745,22276.15470986091,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-869.3898014_acc-0.11429_epoch-16
17,828.4039759,0.12,0.047389104961716555,967686,22015.761300386162,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-828.4039759_acc-0.12000_epoch-17
18,797.2988707,0.12,0.10482148680397074,929920,20496.360852161037,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-797.2988707_acc-0.12000_epoch-18
19,770.45556,0.14857,0.1193332798477087,920613,19921.59435730118,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-770.4555600_acc-0.14857_epoch-19
20,744.6401553,0.14286,0.08662226547206942,941725,20737.97535663906,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-744.6401553_acc-0.14286_epoch-20
21,721.149179,0.14286,0.10436854372745685,930212,19942.217270825367,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-721.1491790_acc-0.14286_epoch-21
22,701.4004629,0.14286,0.09971859826853446,933215,20718.67889457726,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-701.4004629_acc-0.14286_epoch-22
23,682.5656212,0.17714,0.07124538852234608,951816,20322.2440678578,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-682.5656212_acc-0.17714_epoch-23
24,665.8214514,0.20571,0.07729977009929812,947830,20549.923472824907,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-665.8214514_acc-0.20571_epoch-24
25,649.7583989,0.2,0.08069043092845973,945605,19840.083387468352,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-649.7583989_acc-0.20000_epoch-25
26,635.6404178,0.2,0.09508359189571536,936218,19702.359401771508,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-635.6404178_acc-0.20000_epoch-26
27,622.2586479,0.2,0.11440064735171518,923766,18901.38830132766,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-622.2586479_acc-0.20000_epoch-27
28,609.2501896,0.20571,0.08862594183622718,940418,20221.73128099342,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-609.2501896_acc-0.20571_epoch-28
29,597.0922276,0.22286,0.12176747550916645,919061,19773.84105291412,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-597.0922276_acc-0.22286_epoch-29
30,585.6834098,0.22857,0.10031236166292246,932831,19878.722462025627,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-585.6834098_acc-0.22857_epoch-30
31,575.2173651,0.22857,0.11002656556054191,926571,19771.0206653362,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-575.2173651_acc-0.22857_epoch-31
