epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path_x,epsilon,delta,alpha,model_path_y
13,423.5144578,0.25143,0.1336838558536186,911501,17146.09887280469,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-423.5144578_acc-0.25143_epoch-13,64.29,8e-05,1.3,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-423.5144578_acc-0.25143_epoch-13
14,414.9349588,0.25143,0.2216568344243192,857580,15679.341581067309,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-414.9349588_acc-0.25143_epoch-14,66.82,8e-05,1.3,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-414.9349588_acc-0.25143_epoch-14
15,405.7283532,0.25714,0.1205059490673363,919865,17019.168362198798,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-405.7283532_acc-0.25714_epoch-15,69.35,8e-05,1.3,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-405.7283532_acc-0.25714_epoch-15
16,398.119458,0.27429,0.179589816357403,882954,15842.801470001035,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-398.1194580_acc-0.27429_epoch-16,71.87,8e-05,1.3,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-398.1194580_acc-0.27429_epoch-16
17,391.657143,0.27429,0.1492181757015096,901739,15714.54191164766,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-391.6571430_acc-0.27429_epoch-17,74.40,8e-05,1.3,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-391.6571430_acc-0.27429_epoch-17
18,386.5419229,0.25714,0.1502873070369474,901071,15051.154387844525,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-386.5419229_acc-0.25714_epoch-18,76.93,8e-05,1.3,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-386.5419229_acc-0.25714_epoch-18
19,381.1634918,0.24,0.2831899200757917,821772,14788.72785129376,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-381.1634918_acc-0.24000_epoch-19,79.45,8e-05,1.3,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-381.1634918_acc-0.24000_epoch-19
20,375.3665606,0.26286,0.3073746235057264,808111,17319.626175681777,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-375.3665606_acc-0.26286_epoch-20,81.39,8e-05,1.2,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-375.3665606_acc-0.26286_epoch-20
21,370.9868227,0.25714,0.4107753475897198,752219,17150.859073534524,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-370.9868227_acc-0.25714_epoch-21,83.10,8e-05,1.2,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-370.9868227_acc-0.25714_epoch-21
22,365.8047717,0.25143,0.6245746037626532,648611,16685.408981689692,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-365.8047717_acc-0.25143_epoch-22,84.82,8e-05,1.2,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-365.8047717_acc-0.25143_epoch-22
